"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0,-0.549436414011736,-1.43729355577925,-2.22595859429457,-2.79904331755934,-3.05720609144852,-2.95210597347072,-2.50231223361344,-1.79115203416986,-0.949062849447886,-0.125450933412521,0.543238493593643,0.961953870663921,1.09537113663533,0.97133375192997,0.66713558828551,0.279052696820901
0,-1.24856462420698,-0.593363775121739,0.0309827492011119,0.587847766001201,1.04500669225217,1.38485354583311,1.60929792151235,1.73941471390261,1.81062664787066,1.86486385899837,1.9416029474082,2.06983013607923,2.26276073045398,2.51661993200588,2.81406043160254,3.13202622506082
0,-0.854204924519085,-2.67857675443513,-4.36347732125397,-5.74258187388814,-6.66785698876535,-7.05512176966574,-6.90609108727985,-6.30736328872129,-5.40984577442696,-4.39494749922136,-3.43580981840856,-2.6624216888186,-2.13850547961244,-1.85573904553957,-1.74768511933388,-1.7224516728197
0,0.822287889883573,1.78466037683829,2.72516025002548,3.61581840008441,4.42753242655987,5.1356746441559,5.72331874017358,6.18250065241608,6.51398017773794,6.72600024105357,6.83252528866801,6.85136075409035,6.80240631070742,6.70608645756164,6.58175839921845,6.4456582987508
0,0.883272953627633,2.04196713386202,3.16229734931219,4.19848015016735,5.10969343760435,5.87258196903046,6.48731670186402,6.97734117519159,7.38376442553069,7.75613268383039,8.1418407832208,8.5765992908292,9.07810940224915,9.64446202259557,10.2579032317163,10.8936925728561
0,2.25895470691313,3.06651537385853,3.87343381776035,4.67728662687559,5.47221604151322,6.24778823396759,6.98889234049529,7.67698399690834,8.29261794401754,8.81886307180348,9.2449207899143,9.56912111603319,9.80046757974047,9.95802742583957,10.0676752145485,10.1559340317569
0,-1.03238503149098,1.31641840141642,3.57129798848198,5.61831903056113,7.35177421186829,8.70329458460079,9.65645872095795,10.247562096011,10.5548161077347,10.6797322895202,10.7254281426223,10.7768045758949,10.8868999226528,11.0723209363124,11.3187629480498,11.5956695472093
0,0.477001708146475,2.03760994651243,3.51637549347174,4.81585583828516,5.84967732570252,6.56939960194485,6.97747003733735,7.12651073314088,7.10699487913835,7.02706793244473,6.98943570511332,7.0705928366359,7.30710182928662,7.69225810910913,8.18458039210364,8.72757737876732
0,-0.636455464770255,-0.80691129129384,-0.950193816644984,-1.03416317739988,-1.03080644924162,-0.925330712708905,-0.720490165559286,-0.43618909618024,-0.105052787858466,0.234730795504818,0.547572210980384,0.807782473170158,1.00434074344684,1.14192669570509,1.23767511626624,1.31380273647731
0,1.53540992568205,2.45930047405325,3.37426314940231,4.26831002298856,5.12777717849663,5.93914768496466,6.69029881707168,7.37144716472392,7.97595738601589,8.50106715835157,8.94847751815487,9.32467389056458,9.64078258500571,9.91172908055675,10.1544430487217,10.3848442971539
