"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2.768382663","","","4.506179098","15.44282295","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.66122693","93.54245387","97.17","","","","","",
"Africa Eastern and Southern","AFE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00173230248880555","0.00504080836448765","0.0146294941425636","0.0317097336371475","0.086496310561846","0.112752212160974","0.213192402155205","0.386772416959473","0.569512051222246","0.77421755469409","0.961552005089705","1.1316294433033","1.43039835507724","1.71604667481381","1.8055231421271","2.05810176814815","2.7732738256208","2.69414978147317","3.20741617179148","5.29697361379769","6.80275022096875","8.53475011696143","10.1269454655226","12.2377157932034","14.4858491534531","15.753329822739","17.3109868719447","20.0630242595526","22.5895992519959","24.9884008681592","27.660653781351","",
"Afghanistan","AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","0.004722568","0.004561395","0.087891253","0.10580903","1.224148084","2.107123645","1.9","1.84","3.55","4","5","5.454545455","5.9","7","8.26","11","13.5","16.8","17.6","18.4","","",
"Africa Western and Central","AFW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","4.37347303003985E-06","0.000132937808781358","0.00701788772708509","0.0199454592058786","0.0356483338548163","0.0865832729233697","0.139444898636359","0.21015312440225","0.412121735356163","0.657937928967395","1.17631825716585","2.32241581377363","3.45834089338183","4.23339885847179","4.98553994993049","5.80373621795227","7.24253015229823","8.66493595574041","10.2936544981934","12.5777557951493","14.923440708625","18.1094850427716","22.8697496052976","27.0812193846418","32.0893370172076","35.2764479325331","41.7498190724143","46.9904973070537","",
"Angola","AGO","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000775929","0.005673746","0.018453724","0.071964087","0.105045562","0.136013867","0.270376746","0.370682065","0.464814618","1.143366827","1.5","1.7","1.9","2.3","2.8","4.7","7.7","13","21.4","22","23.2","26","29","32.12939197","32.55014678","32.60230173","",
"Albania","ALB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.011168695","0.032196828","0.048593919","0.06502737","0.081437045","0.114097347","0.325798377","0.390081273","0.971900415","2.420387798","6.043890864","9.609991316","15.03611541","23.86","41.2","45","47","49.4","51.8","54.3","56.9","59.6","62.4","65.4","68.55039112","72.23767711","79.32","",
"Andorra","AND","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1.526601023","3.050175385","6.886209218","7.635686143","10.53883561","","11.26046872","13.54641288","26.83795439","37.60576622","48.936847","70.87","70.04","78.53","81","81","82.7","84.4","86.1","87.9","89.7","91.56746703","","90.71866533","93.20564892","93.89752157","",
"Arab World","ARB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.00086463419722957","0.00287760143451145","0.0146856685731192","0.0402727667612479","0.141948279814273","0.283811604320554","0.644800202411028","1.21705641649358","1.6399570540869","2.79782204919422","3.77037813690713","7.25012731787422","8.61472994617376","11.5893486742988","14.3537690407378","18.5565409803174","21.5084930715263","25.6809726220511","27.5480357963057","30.7954873267533","33.9101316977464","37.6559500541718","41.3816170535244","41.5291955662799","46.6646762508779","53.1981911718007","60.7310291575392","66.4221082981695","76.110959625667","",
"United Arab Emirates","ARE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.102939175","0.375393534","3.295592694","6.908302986","14.94269899","23.62530088","26.2717542","28.31648531","29.47795341","30.13129617","40","52","61","63","64","68","78","84.9999915","88","90.4","90.5","90.60000732","94.81992254","98.45000178","99.14999796","100","100","",
"Argentina","ARG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.038683086","9.780807285","10.88212438","11.91369655","16.03668411","17.72058337","20.9272021","25.94663294","28.11262348","34","45","51","55.8","59.9","64.7","68.04306411","70.96898082","74.29490687","77.7","79.94695203","85.51438646","87.15070683","",
"Armenia","ARM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.009117014","0.052743123","0.094572902","0.111650935","0.128659478","0.970737757","1.300470022","1.631094667","1.960405046","4.575217225","4.899008571","5.252983352","5.631787777","6.021253397","6.21","15.3","25","32","37.5","41.9","54.62280586","59.10083377","64.34602977","64.74488433","68.24505226","66.54394969","76.50770055","78.61225758","",
"American Samoa","ASM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2.200768802","2.858449577","3.480536838","4.0717165","5.300681138","6.482225737","8.899285515","12.5","17.22864878","24.26654372","27","30","34","38","42","47","52","58","63.4","67.78","70","73","","","95.70763132","95.68550784","95.66338947","",
"Australia","AUS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585094712","1.097203891","1.768764913","1.974611016","2.232101254","2.759654513","3.27524987","16.36935838","30.81323944","40.7837839","46.75611561","52.68926643","","","","63","66","69.45","71.67","74.25","76","79.48769771","79","83.45349717","84","84.56051491","86.54","86.54504885","90","93.60991916","96.39446689","96.24","",
"Austria","AUT","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130369377","0.259081553","0.642817619","0.76534273","1.393422968","1.890210524","6.909162353","9.533974317","15.42121932","23.0443171","33.73013295","39.18545018","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","78.7399931","80.02999392","80.6188","80.99582496","83.94014193","84.32374257","87.93558659","87.47913723","87.75220479","87.52942813","92.52915104","",
"Azerbaijan","AZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.001431415","0.002055556","0.006354585","0.025187933","0.037485109","0.099228942","0.147757576","0.305564638","4.999713678","","","8.030375356","11.99217733","14.54","17.08","27.4","46","50","54.2","73.00000137","75.00001564","77","78.2","79","79.79999549","81.09999907","84.59999573","86","",
"Burundi","BDI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000803592","0.007979439","0.015842776","0.039204469","0.077248447","0.106001245","0.118228412","0.201273197","0.349060462","0.542142866","0.65759259","0.7","0.81","0.9","1","1.11","1.219999945","1.264218111","1.4","2","2.2","2.660748535","2.7","2.731443388","3.787954422","5.804921577","",
"Belgium","BEL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00100674","0.020072645","0.100041027","0.199446059","0.69599469","0.99166299","2.968411647","4.93808091","7.886622701","13.77221446","29.43169169","31.28839551","46.33","49.97","53.86","55.82","59.72","64.44","66","70","75","81.609996","80.71999055","82.1702","85","85.05294175","86.51647666","87.67968082","88.647343","90.27542801","91.52641629","92.79","",
"Benin","BEN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.0016931","0.024648796","0.047877304","0.154906741","0.225247851","0.36341789","0.702945595","0.951327115","1.182540965","1.271031439","1.537854346","1.79","1.85","2.24","3.13","4.148323066","4.5","4.9","6","11.25498791","14.5","18.7","19","22.41593843","28.22915416","33.96533089","",
"Burkina Faso","BFA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000960519","0.018686353","0.045423484","0.061780293","0.077080169","0.157732465","0.200992598","0.373440303","0.400295285","0.469914489","0.632707564","0.75","0.92","1.13","2.4","3","3.725034916","5","6","6.55","7.14","7.79","8.5","9.27180601","13.93797176","21.57982734","",
"Bangladesh","BGD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","0.000751046","0.003684813","0.036170407","0.071039423","0.129807974","0.139920289","0.163877665","0.199036334","0.241637326","1","1.8","2.5","3.1","3.7","4.5","5","6.63","11.9","12.9","18.1","19.8","23.44","27.76","32.87","38.91744466","",
"Bulgaria","BGR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.002339042","0.019526669","0.119665549","0.725251167","1.219813132","1.844965121","2.908154025","5.370923469","7.612297749","9.08","12.04","18.13","19.97","27.09","33.64","39.67","45","46.23","47.97999305","51.89998767","53.0615","55.49","56.65625161","59.82554766","63.41010138","64.78201069","67.94698094","70.16248359","75.27144583","",
"Bahrain","BHR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.346205844","0.843254219","1.646299202","3.218202151","4.720358118","6.153732546","15.03863425","18.05072089","21.55494499","21.45868051","21.30373351","28.24395243","32.91","51.95","53","55","76.9999665","88","90.0000397","90.50313348","93.4783008","97.9999807","95.87813575","98.64467258","99.70150438","99.67103159","100","",
"Bahamas, The","BHS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.960030721","1.746950698","1.362953903","2.33559071","3.764557822","8","11.8","18","20","22","25","26","27","31.54","33.88","43","65","71.74820281","72","76.92","78","80","80.6","83","90.69327663","92.4760204","94.29380729","",
"Bosnia and Herzegovina","BIH","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.015125563","0.059425563","0.14367106","0.1943742","1.08296075","1.200526951","2.648267914","3.965036834","15.46897162","21.326701","25.12238569","27.92","34.66","37.74","42.75","43.88768653","45.06450043","48.52131417","49.91773243","52.6","60.25653543","64.89202051","70.12013504","69.94634763","73.21175294","75.67620138","",
"Belarus","BLR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.000485951","0.002921254","0.029298294","0.049020891","0.073868897","0.494881245","1.860398126","4.300616022","8.950971315","","","","16.2","19.7","23","27.43","31.8","39.64889566","46.91","54.17","59.02","62.23036091","71.11304576","74.43644541","79.12988669","82.78915209","85.08791245","86.89","",
"Belize","BLZ","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.04539718","0.882807327","1.288582302","2.091516391","4.076740564","5.963835303","","5.684251214","","9.8","17","24","24.6","26.3","27.2","28.2","30.7","31","33.6","38.7","41.59","44.57574032","47.0826258","49.8","57.11844188","59.50638944","61.9941698","",
"Bermuda","BMU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","6.838163465","16.20246602","24.18925674","32.10375935","39.94758876","42.94986002","47.5096999","52.03159737","56.52201218","60.99086701","65.44706579","69.89965516","74.35059403","82.3","83.25","84.21","88.336","91.29930452","95.3","96.8","98.32360965","98","98.37","","","","","",
"Bolivia","BOL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.066807568","0.196081174","0.447839036","0.626484062","0.981815187","1.442763585","2.120462534","3.117192947","3.508596401","4.439924601","5.227583957","6.200671255","10.49924432","12.5","16.8","22.4","30","35.34","36.99","34.6","37.49","39.6975146","43.83227607","44.2861422","47.47481911","59.94010155","65.9773785","",
"Brazil","BRA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.003288171","0.012946262","0.025498253","0.037672709","0.105138168","0.450789179","0.786079155","1.477874959","2.038732184","2.870685159","4.528494869","9.149425086","13.2075861","19.07367227","21.02274725","28.17838018","30.88","33.83","39.22","40.65","45.69","48.56","51.04","54.55100188","58.32795173","60.87254007","67.47128452","70.43428254","73.91243991","81.34269353","80.69","",
"Barbados","BRB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.007752238","0.389464214","0.783428912","1.970249237","2.376247035","3.973678355","11.93645034","27.83632242","39.68962712","49.8","52.5","55.3","58.2","61.4","64.7","65.1","66.5","71.2","71.8","75.16","76.11","79.54939789","81.76077839","82.48","83.20881332","82.458446","85.82","",
"Brunei Darussalam","BRN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.017080166","3.303349927","4.831057905","6.284742844","7.671041206","8.996284534","12.91776908","15.32987986","19.59500322","29.71560414","36.46639195","42.18634916","44.68","46","49","53","56","60.27306504","64.5","68.77","71.2","90","94.86669164","95","95","96.06912594","98.08","",
"Bhutan","BTN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","0.137571514","0.400944447","0.864628564","1.675802584","2.436912399","3.156984196","3.847106745","4.518317258","5.92","6.55","7.17","13.6","14.4","15.6","22.4","30.3","39.8","46.5","54.3","63.5","74.17944255","79.86984884","85.63688389","",
"Botswana","BWA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.064521041","0.15745423","0.30774685","0.602400929","1.122391474","2.902666622","3.430886787","3.385922351","3.345190174","3.304889253","3.262554036","4.289932975","5.28","6.25","6.15","6","9","16","30","36.74474744","37.31205037","39.36299738","41.41379464","58","64.82632542","72.74801998","73.5","",
"Central African Republic","CAF","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.005849503","0.014270881","0.027878201","0.040894287","0.053394174","0.078543428","0.128537117","0.151563338","0.223401395","0.268195609","0.311159173","0.375815961","1","1.8","2","2.2","2.4","2.5","2.7","2.9","3.1","4","5.1","7.509161449","8.565672483","10.58263964","",
"Canada","CAN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.360999701","0.570385926","0.91598104","1.184557509","2.378693853","4.163525253","6.76023965","15.07235736","24.8974003","36.18644004","51.3","60.2","61.59329927","64.2","65.95596346","71.66","72.4","73.2","76.7","80.3","80.3","83","83","85.8","87.12","90","91.16","92.70137191","94.64","91.91289669","92.3","92.83401664","",
"Central Europe and the Baltics","CEB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00212268791678814","0.0234971843218705","0.140449541495477","0.367720970383807","0.587826737869043","1.07002085831506","1.79447190881875","3.51458249194234","4.96572509041927","7.05543729111849","10.2402887077648","18.2645610199556","22.613612225965","29.2752073803138","34.7751428190142","40.8344016365848","45.3137669893418","50.7054902471686","55.1138437037061","58.6002660853537","59.1190792926196","61.7140262966908","63.4541012148942","66.4752221974224","67.3429671349962","71.3428544464196","73.4106382259526","75.9768506229148","78.729072126681","81.7802416089691","84.7131936137643","",
"Switzerland","CHE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.595714223","1.17995597","1.751713322","2.167270203","2.720004329","3.552007211","4.549656748","15.1","24.8","34","47.1","55.1","61.4","65.1","67.8","70.1","75.7","77.2","79.2","81.3","83.9","85.19302818","85.2","86.34","87.4","87.4790556","89.13468774","89.68614767","91.8","93.14608695","94.34995199","95.57","",
"Channel Islands","CHI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
