areaType,areaName,areaCode,date,newVirusTestsByPublishDate,cumVirusTestsByPublishDate
overview,United Kingdom,K02000001,10/07/2020,134030,7463671
overview,United Kingdom,K02000001,09/07/2020,137861,7329538
overview,United Kingdom,K02000001,08/07/2020,127389,7191497
overview,United Kingdom,K02000001,07/07/2020,106977,7064288
overview,United Kingdom,K02000001,06/07/2020,77469,6957311
overview,United Kingdom,K02000001,05/07/2020,92774,6879738
overview,United Kingdom,K02000001,04/07/2020,114274,6786243
overview,United Kingdom,K02000001,03/07/2020,139218,6671841
overview,United Kingdom,K02000001,02/07/2020,136186,6532368
overview,United Kingdom,K02000001,01/07/2020,123348,6396219
overview,United Kingdom,K02000001,30/06/2020,112164,6272682
overview,United Kingdom,K02000001,29/06/2020,75662,6151618
overview,United Kingdom,K02000001,28/06/2020,83157,6073492
overview,United Kingdom,K02000001,27/06/2020,100631,5989575
overview,United Kingdom,K02000001,26/06/2020,105971,5888944
overview,United Kingdom,K02000001,25/06/2020,108124,5782973
overview,United Kingdom,K02000001,24/06/2020,91135,5631278
overview,United Kingdom,K02000001,23/06/2020,73646,5540143
overview,United Kingdom,K02000001,22/06/2020,63026,5466497
overview,United Kingdom,K02000001,21/06/2020,60484,5400371
overview,United Kingdom,K02000001,20/06/2020,83467,5339704
overview,United Kingdom,K02000001,19/06/2020,90547,5255955
overview,United Kingdom,K02000001,18/06/2020,89613,5165408
overview,United Kingdom,K02000001,17/06/2020,86438,5071925
overview,United Kingdom,K02000001,16/06/2020,80862,4985487
overview,United Kingdom,K02000001,15/06/2020,71402,4904625
overview,United Kingdom,K02000001,14/06/2020,69529,4833223
overview,United Kingdom,K02000001,13/06/2020,98974,4762842
overview,United Kingdom,K02000001,12/06/2020,98899,4663013
overview,United Kingdom,K02000001,11/06/2020,101778,4563309
overview,United Kingdom,K02000001,10/06/2020,101033,4460271
overview,United Kingdom,K02000001,09/06/2020,93959,4359163
overview,United Kingdom,K02000001,08/06/2020,69999,4264755
overview,United Kingdom,K02000001,07/06/2020,86926,4159303
overview,United Kingdom,K02000001,06/06/2020,93154,4072267
overview,United Kingdom,K02000001,05/06/2020,101961,3978661
overview,United Kingdom,K02000001,04/06/2020,99484,3875730
overview,United Kingdom,K02000001,03/06/2020,101885,3776246
overview,United Kingdom,K02000001,02/06/2020,92299,3674232
overview,United Kingdom,K02000001,01/06/2020,70648,3581534
overview,United Kingdom,K02000001,31/05/2020,82243,3510927
overview,United Kingdom,K02000001,30/05/2020,96995,3428684
overview,United Kingdom,K02000001,29/05/2020,105459,3331686
overview,United Kingdom,K02000001,28/05/2020,101753,3226227
overview,United Kingdom,K02000001,27/05/2020,82670,3124473
overview,United Kingdom,K02000001,26/05/2020,77745,3041801
overview,United Kingdom,K02000001,25/05/2020,78385,2963880
overview,United Kingdom,K02000001,24/05/2020,59464,2815535
overview,United Kingdom,K02000001,23/05/2020,91841,2756068
overview,United Kingdom,K02000001,22/05/2020,91196,2664230
overview,United Kingdom,K02000001,21/05/2020,105655,2573033
overview,United Kingdom,K02000001,20/05/2020,86634,2467369
overview,United Kingdom,K02000001,19/05/2020,86041,2380736
overview,United Kingdom,K02000001,18/05/2020,70074,2302976
overview,United Kingdom,K02000001,17/05/2020,81278,2232850
overview,United Kingdom,K02000001,16/05/2020,91360,2151572
overview,United Kingdom,K02000001,15/05/2020,91342,2060212
overview,United Kingdom,K02000001,14/05/2020,84693,1968871
overview,United Kingdom,K02000001,13/05/2020,83182,1884165
overview,United Kingdom,K02000001,12/05/2020,74593,1800289
overview,United Kingdom,K02000001,11/05/2020,70332,1725696
overview,United Kingdom,K02000001,10/05/2020,76507,1655281
overview,United Kingdom,K02000001,09/05/2020,77152,1578774
overview,United Kingdom,K02000001,08/05/2020,76963,1501622
overview,United Kingdom,K02000001,07/05/2020,77466,1424655
overview,United Kingdom,K02000001,06/05/2020,74455,1347190
overview,United Kingdom,K02000001,05/05/2020,66919,1270344
overview,United Kingdom,K02000001,04/05/2020,72630,1208190
overview,United Kingdom,K02000001,03/05/2020,68203,1128590
overview,United Kingdom,K02000001,02/05/2020,63559,1060387
overview,United Kingdom,K02000001,01/05/2020,74142,996826
overview,United Kingdom,K02000001,30/04/2020,83143,922684
overview,United Kingdom,K02000001,29/04/2020,65643,839597
overview,United Kingdom,K02000001,28/04/2020,45263,771817
overview,United Kingdom,K02000001,27/04/2020,31453,726553
overview,United Kingdom,K02000001,26/04/2020,31610,694987
overview,United Kingdom,K02000001,25/04/2020,29058,663377
overview,United Kingdom,K02000001,24/04/2020,28225,634319
overview,United Kingdom,K02000001,23/04/2020,28024,606093
overview,United Kingdom,K02000001,22/04/2020,23073,578066
overview,United Kingdom,K02000001,21/04/2020,22763,554992
,,,,,
