"Country.Code","hit"
"ABW",18.5852981969487
"AFG",2.35093567694524
"AGO",5.75030552518172
"ALB",3.48167670502968
"AND",11.1817501869858
"ARE",4.80017994059314
"ARG",9.94325066645126
"ARM",7.39522957604356
"ATG",20.1907356948229
"AUS",2.13766759044267
"AUT",6.73459716908646
"AZE",4.19634199351322
"BDI",-0.33534804296049
"BEL",5.68078359966094
"BEN",-3.84873682942334
"BFA",-1.93026846068354
"BGD",-3.44801337842775
"BGR",4.38759200426229
"BHR",4.93418520514201
"BHS",23.8221047996477
"BIH",3.11806753758937
"BLR",0.672904125264921
"BLZ",13.6792452830189
"BOL",8.73784436729804
"BRA",3.8781899565676
"BRB",13.7319316688568
"BRN",-1.13094926435939
"BTN",2.34883986741342
"BWA",8.72650493573209
"CAF",-0.959259647650995
"CAN",5.23269867902796
"CHE",2.51434654925359
"CHL",6.06758067508784
"CHN",-2.24356301359111
"CIV",-1.95066725472142
"CMR",-0.539398973349932
"COD",-1.7354627742761
"COG",8.13574745094378
"COL",7.04814320973645
"COM",0.341570079032749
"CPV",14.7832641065406
"CRI",4.05091922403787
"CYP",4.98726370827188
"CZE",5.50289566555062
"DEU",3.69226687725967
"DJI",-1.20201331484473
"DMA",16.5998396150762
"DNK",1.99377828054297
"DOM",6.72044955284569
"DZA",5.10005317251631
"ECU",7.78669708816207
"EGY",-3.48510648799387
"ERI",0.530092253624261
"ESP",10.8224926914668
"EST",0.55278247597046
"ETH",-6.05739142487032
"FIN",2.226926075462
"FJI",16.9993440164933
"FRA",7.90209880086884
"FSM",1.96850393700787
"GAB",1.86377009790361
"GBR",9.27024582313504
"GEO",6.75964067695668
"GHA",-0.513586759261514
"GIN",-4.91981683941249
"GMB",-0.590911298547823
"GNB",-1.49999999999999
"GNQ",4.24150097791582
"GRC",9.01927684600304
"GRD",13.7751004016064
"GTM",1.76411339231825
"GUY",-43.4799682019749
"HKG",6.54500366735357
"HND",8.96487985212569
"HRV",8.10192031165548
"HTI",3.34334575615425
"HUN",4.46321632479668
"IDN",2.06500494092904
"IND",6.59611903036381
"IRL",-6.18417530089258
"IRN",-3.33028852655353
"IRQ",15.7014053406517
"ISL",6.84257423942101
"ISR",1.85678296381893
"ITA",9.02540020357175
"JAM",10.0487437629878
"JOR",1.55074875207987
"JPN",4.61870125913762
"KAZ",2.60031884942845
"KEN",0.250201268706576
"KGZ",8.61665246722072
"KHM",3.1303106909406
"KIR",0.546448087431699
"KNA",13.9544344995932
"KOR",0.709409961771854
"KWT",8.85479951397326
"LAO",0.434963474300304
"LBN",25.9073404131171
"LBR",2.95411690760528
"LBY",29.4760660683639
"LCA",24.3566509604929
"LKA",3.47228742689086
"LSO",5.99446239040149
"LTU",0.13357899585445
"LUX",1.77520644810365
"LVA",3.76602274778841
"MAC",54.0114290856731
"MAR",7.18735312967314
"MDA",8.29816098884535
"MDG",7.14060142781865
"MDV",33.4998183799491
"MEX",8.05732563335962
"MHL",1.41509433962264
"MKD",6.11068711215611
"MLI",1.24356269090588
"MLT",8.32363664572182
"MMR",-3.1894165322263
"MNE",15.2952565343659
"MNG",4.55774576880495
"MOZ",1.19864508710894
"MRT",0.937439048176316
"MUS",14.8978601989416
"MWI",-0.912578308426703
"MYS",5.53460444538079
"NAM",8.03663873434847
"NER",-3.62289823545305
"NGA",1.79426610499334
"NIC",1.78940799889065
"NLD",3.91343100295121
"NOR",0.716995745731708
"NPL",2.36949404634701
"NRU",-1.14942528735634
"NZL",2.08102945611742
"OMN",3.20234570385487
"PAK",0.943320032855965
"PAN",17.9444289564167
"PER",11.0141491311841
"PHL",9.51830880551006
"PLW",8.96057347670252
"PNG",3.4954499802173
"POL",2.20004187896978
"PRI",3.90446521287645
"PRT",8.44227514655024
"PRY",0.819784316941735
"QAT",3.55765166713297
"ROU",3.74794291495697
"RUS",2.66374225272307
"RWA",3.35702569710224
"SAU",4.13786838459617
"SDN",3.62799263351749
"SEN",-1.32644285232573
"SGP",4.14316454775097
"SLB",3.38114754098362
"SLE",1.96889922860292
"SLV",8.17385153456203
"SMR",6.67209113100083
"SOM",0.284614096768792
"SRB",0.944694379582202
"SSD",6.5151043288695
"STP",-3.02748020493715
"SUR",15.9079511896139
"SVK",4.35907197563489
"SVN",4.32147137457362
"SWE",2.17022809078379
"SWZ",1.55878097727167
"SYC",7.72183130768526
"TCD",2.15677860422809
"TGO",-1.75782763698365
"THA",6.19547773610331
"TJK",-4.36241610738254
"TKM",2.9535520612293
"TLS",8.58024691358025
"TON",-0.48685491723468
"TTO",7.37427638174702
"TUN",8.73474630700063
"TUR",-1.93982804785738
"TUV",-1.51515151515152
"TWN",-3.35904482335062
"TZA",-4.80614542592119
"UGA",1.38836772983115
"UKR",3.75276107497852
"URY",6.11507741355626
"USA",3.40456520048674
"UVK",5.33916849015318
"UZB",-1.8862249254739
"VCT",5.29828952857738
"VNM",-2.94383485800979
"VUT",5.39625421471681
"WBG",11.3189760260057
"WSM",3.10360565951619
"YEM",8.5002383325389
"ZAF",6.3423572784189
"ZMB",2.7847368755337
"ZWE",5.15797285835455
