School_age,Elders,Population_size,GDP,workp,Hospital_capacity,Test_rate,Test_start,Response_time,Social_distancing_min,Social_distancing_rate,R0,beta,Agriculture,Food_sector,International_tourism,Internet,Cost,Deaths,School,GDP_loss
0.173021960935302,0.185076041404434,50000000,1511548.07245434,5.063888681,25.9405439936749,463.7851675,43,64,0.102587567,0.000460989,2.52535855600386,0.0748241076842247,0.00777462184086986,0.0197053675044186,0.0711627013773992,0.869519803826638,9.20441801333186,8.58241899419204,0.0508547803848574,0.57114423875497
0.144963144963145,0.190752736207282,50000000,1080482.4104003,6.251243135,106.129745388,2042.694021,50,33,0.4,2.22e-14,3.12971191065231,0.0729922804101853,0.000298835990367409,0.0950675467879751,0.562773870321824,0.295229056165885,326221.766877839,204168.398531194,15481.7639100399,106571.604436605
0.157894736842105,0.16374269005848,50000000,660719.948455462,4.999777281,48.4863055486689,136.4044863,418,63,0.299285,0.118592583,3.42648423161101,0.0696292111841336,0.0438042965116808,0.0696967632262731,0.354434698467807,0.400858938102397,419813.889853815,249096.682924618,29351.0189408012,141366.187988396
0.197530864197531,0.166666666666667,50000000,711819.325643383,3.727898332,138.239164153408,117.7476261,47,70,0.355,1.39e-12,3.09220209418278,0.0731210457110795,0.0258930264873553,0.0739490641353778,0.564665980083618,0.545333965090014,239727.484965136,161181.924011556,6118.7803855351,72426.780568045
0.256572769953052,0.122065727699531,50000000,1917871.3330453,3.605519089,77.8546119886168,209.1339259,43,69,0.324020744,0.054864172,2.82434294926406,0.0737834737087317,0.120026982751208,0.00803122880825019,0.239747888916158,0.38072259472015,657824.33436451,346050.884827849,123966.143376349,187807.306160312
0.138416890982503,0.151202893674293,50000000,1120561.17547297,6.225830028,60.6348572394086,133.0822059,47,60,0.4,0.118592583,3.15695389198083,0.0728714238999237,0.0330890843480887,0.0228801829657507,0.0701563384272044,0.529234979653771,740226.948273836,441857.137825976,46562.4676143541,251807.342833505
0.14827522499934,0.181160759059358,50000000,975042.845003278,3.437707236,155.805002194363,117.7476261,57,64,0.233886625,6.02e-05,2.81286866639181,0.0738217012021576,0.0323080077644776,0.0158720886331423,0.029888015385504,0.03825491439489,263841.167517758,191489.877418214,13236.802732264,59114.4873672801
0.173021960935302,0.185076041404434,50000000,573544.399607306,5.867136266,106.269754570476,1563.171748,47,63,0.4,0.048727975,3.27245998089012,0.0720287280287896,0.0214297911423425,0.0952153506931754,0.418978607208308,0.0167246751461756,458972.949658623,287406.877659459,52871.8697835959,118694.202215568
0.186684124905765,0.159187398325596,50000000,2177262.03667288,4.611049061,89.4540283645254,292.45,67,33,0.1,3.79e-08,2.84148389215963,0.0737248842832293,0.0819901048820075,0.0409611550396658,0.465029841035235,0.447894108190448,437590.993862389,256491.641866787,19918.3973870267,161180.954608576
0.196814832422154,0.027810791537913,50000000,2333127.6484131,5.514869378,109.095896577489,253.1591928,50,71,0.183672547,0.048727975,2.8158554827624,0.0738118903236645,0.0106383742121853,0.0318633365886164,0.323233622085696,0.233167173774115,793261.071135012,380718.720600997,70476.3674691795,342065.983064835
0.239520958083832,0.101796407185629,50000000,899173.516652764,5.009958089,33.9787874824964,331.6298571,56,72,0.262855,1.07e-07,2.77589619334664,0.0739356414767481,0.0355835409827494,0.0885988907548046,0.409189053231061,0.0932197190078353,211653.142122785,40072.463847936,56590.3827884211,114990.295486428
0.14827522499934,0.181160759059358,50000000,1925350.04617991,5.587221226,126.259424984839,580.2722078,67,60,0.360715,4.77e-10,2.78232012684886,0.0739169015546006,0.0673917770581561,0.0536873075776081,0.269529619743087,0.579168262540449,503081.035287032,338703.303147892,6154.72025990699,158223.011879232
0.152537828448859,0.168275395770674,50000000,1928819.44193108,6.215916754,57.5211420743159,383.1706395,50,70,0.4,3.79e-08,3.06930145182652,0.0731804456248508,0.0638078101134385,0.073784167293975,0.766191650517453,0.289594212006789,630394.876488927,293754.226728575,58142.1332694308,278498.516490921
0.132395831691129,0.280020810014031,50000000,2048407.32629455,5.063888681,102.688208796124,443.2923191,16,70,0.360715,0.000460989,3.03775737020003,0.0732436348113314,0.0475273157037016,0.017340108190913,0.385130221331347,0.0693532962932096,21.9589164174932,20.1127458135047,0.389007719780201,1.45716288420829
0.149145421560202,0.219230401986059,50000000,783224.719199898,6.037846742,182.829438469336,109.067389,24,25,0.355,0.009154892,2.99356484296001,0.0733147829058217,0.0122598161184664,0.01617446114919,0.42556202335535,0.938846463098405,224543.179544138,165419.812420179,7940.82233744171,51182.5447865173
0.149394673123487,0.208474576271186,50000000,1273787.67676767,6.379739429,43.6266039114508,307.9719653,67,63,0.355,0.060954398,2.68552945181262,0.0741919590668086,0.0471388466140228,0.0242505793833176,0.104364081390919,0.559297086153806,451521.457156881,219522.609871239,26551.3176073078,205447.529678334
0.229166666666667,0.0509259259259259,50000000,2224303.5731053,5.141249993,108.878186914452,650.4420455,62,65,0.1,6.02e-05,2.98890192640432,0.0733225815118156,0.0589884959918177,0.0608530542152214,0.173332751535223,0.692298068660603,536492.914992879,250025.155371134,32771.2187809278,253696.540840817
0.144963144963145,0.190752736207282,50000000,741714.598430919,5.396312646,70.0219271820326,33.43689759,46,61,0.355,0.000460989,3.33861193630779,0.0712646480842847,0.0396689294241592,0.129960638269502,0.488331649147127,0.979532017520032,388927.754421743,221539.308113843,7214.47562818586,160173.970679714
0.149145421560202,0.219230401986059,50000000,657489.531541626,6.725651686,58.2658766363885,159.0567251,62,63,0.355,0.05006251,2.88851360494807,0.0735681613102958,0.0622974592898394,0.0958201459583282,0.351299298698486,0.0822047136897442,316990.101170793,142542.698660235,36654.6807264828,137792.721784075
0.173021960935302,0.185076041404434,50000000,707157.042939329,4.437254927,39.9297761522245,109.067389,115,34,0.360715,3.83e-11,2.71753172294569,0.0740984555490365,0.0158459554899227,0.06325901163691,0.312007385047632,0.0939650214716029,179035.239925208,47430.6274298304,38971.2810499382,92633.3314454393
0.197530864197531,0.166666666666667,50000000,1373987.10541784,7.494963518,85.2614316984301,143.8149096,44,23,0.299285,8.26e-07,3.1427875615988,0.0729376145042032,0.0648105442769627,0.104178484965396,0.50194094063045,0.16605863439543,495955.61998084,191730.265112197,77095.0917221771,227130.263146467
