School_age,Elders,Population_size,GDP,Hospital_capacity,Test_rate,Test_start,Response_time,Social_distancing_min,Social_distancing_rate,R0,Agriculture,Food_sector,International_tourism,Internet,Cost,Deaths,School,GDP_loss
0.207906595657517,0.1421548545678,50000000,1063725.35940516,67.0970202852883,143.8149096,47,60,0.230498573,0.000335144,2.58231678836851,0.0796153633906437,0.0702699866017451,0.387299232172071,0.140439697253871,685939.515783579,491393.388752832,148306.459541732,46239.6674890153
0.190497318159026,0.162095634601067,50000000,1531269.17424375,104.072591415344,550.1186557,50,70,0.4,4.77e-10,2.41379080503865,0.00603904860922053,0.0336658107434716,0.154375193845938,0.60967721151468,793282.04185774,663834.210108812,67995.6952992772,61452.1364496509
0.193867120954003,0.197274275979557,50000000,2181214.37701986,33.1743105549868,723.275,43,76,0.4,0.000460989,2.76581671240762,0.0407818776112463,0.0127227056331822,0.0847361117969396,0.812157644282871,1125525.84350475,880443.038075962,131923.66665292,113159.138775872
0.139736456808199,0.150590531966813,50000000,1166812.61816745,37.9738056106794,229.1512409,228,61,0.324020744,2.22e-14,2.37724440929181,0.0315021874557198,0.0156888450384874,0.0275569278589125,0.0276851008492714,360184.387720274,215973.379576845,95650.9064343876,48560.1017090417
0.170492939443819,0.190158537641861,50000000,1487197.85579186,118.123566505019,133.0822059,42,65,0.1,0.161941459,2.63222772675547,0.0415709000535119,0.0570161985329525,0.287174028538437,0.397348118285954,1203940.38290229,991073.59291817,150851.694011944,62015.0959721726
0.147459727385378,0.196922759190417,50000000,2576998.98965013,85.543656768239,33.43689759,40,63,0.1,2.22e-14,2.44549008218908,0.0517605756989179,0.0486410170592366,0.375295600496411,0.964589667690908,641836.182639097,430579.797096206,61909.3209335159,149347.064609376
0.145332050048123,0.201636188642926,50000000,2562619.07229437,90.9469639088534,443.2923191,44,75,0.102587567,0.409555389,2.50753882589481,0.0290660482310805,0.0480732185682736,0.601473747527812,0.723944046829873,2109183.05703196,1818500.7744714,128779.150593342,161903.131967219
0.139736456808199,0.150590531966813,50000000,1444781.24930865,252.082399642364,600.7387776,47,52,0.39286,0.409555389,2.3724513104523,0.0271642321366406,0.0159669575778684,0.0115249124352548,0.852221446907846,1766779.87518211,1652042.10042498,47980.6118683594,66757.1628887635
0.203883495145631,0.194174757281553,50000000,2713105.25174266,67.2794220943952,292.45,47,72,0.102587567,0.081734631,2.5568212365318,0.047410408410807,0.0586861220638666,0.250053169794789,0.271641601323575,2205532.07216713,1759947.79166241,330649.745284504,114934.535220215
0.216494845360825,0.0927835051546392,50000000,2211009.31822205,28.4911632706141,846.2964758,43,64,0.183672547,0.009154892,2.78751724348614,0.102928749795505,0.0475196258689645,0.723676226048996,0.499054845421418,1014197.9497901,622880.226140776,208059.653119075,183258.070530251
0.149909061731037,0.196490852680004,50000000,1972133.24068814,146.695730805396,2042.694021,67,33,0.4,0.161941459,2.22678990387464,0.00785402979568345,0.0343352913707313,0.162820724818523,0.594036239665624,2033893.69019979,1861208.12905993,66728.1485513641,105957.412588503
0.157974300831444,0.199546485260771,50000000,1792175.35053038,41.3889225944575,525.6118497,104,69,0.4,0.003319939,2.83959760043056,0.072292741787046,0.0649742583631397,0.494452750645305,0.231559925862008,1721836.64780861,1461254.90490853,119245.602283415,141336.140616663
0.144631331899081,0.223645609231371,50000000,890925.381797104,86.9940161447732,443.2923191,167,70,0.324020744,2.22e-14,2.28934203789396,0.0281245451063628,0.0399217864014286,0.288136016091871,0.65570071104913,288070.846969293,229668.113093561,31490.7203755195,26912.0135002124
0.149145421560202,0.219230401986059,50000000,920275.756581222,100.482277831762,307.9719653,43,23,0.1,0.083528246,2.64253535228685,0.0198045602544597,0.0180694401172063,0.125248546891365,0.69164474640379,733149.696961639,667610.404630893,28335.8956362631,37203.3966944828
0.190497318159026,0.162095634601067,50000000,4177527.98664993,78.8454353185718,1378.007525,48,76,0.4,2.79e-14,2.73743532087151,0.00161071450938858,0.0281712331513252,0.289065806770804,0.0540947499476154,2073804.57471721,1577663.76090572,328473.644276162,167667.16953532
0.170883882149047,0.19948006932409,50000000,3098374.56801286,66.7554158688227,133.0822059,44,61,0.323190546,0.00079487,2.68674566305456,0.050048603242995,0.0383483173957057,0.379147335707403,0.916822489193342,1999866.42257087,1723482.97539254,109074.323292632,167309.123885702
0.173021960935302,0.185076041404434,50000000,800694.512035041,48.3735848469556,339.1048991,57,75,0.324020744,0.008409513,2.27048904491961,0.0169001268145584,0.0200299544658462,0.00105304422878498,0.995460965563954,454389.570804782,380629.935209753,41112.1730205331,32647.4625744957
0.149145421560202,0.219230401986059,50000000,2644025.38886382,128.682305137673,187.4924444,31,61,0.33357,6.02e-05,2.32070805109725,0.00683210254854944,0.0434107423881395,0.381001373597179,0.985870536857658,1587127.99611315,1401765.59541076,49570.3138501331,135792.086852255
0.139749962841241,0.230120064078215,50000000,2215466.77303661,123.876190071896,54.86536145,57,77,0.262855,2.79e-14,2.65069210387224,0.10223327091466,0.0499001749306531,0.567606543500317,0.691749140044227,697561.938725095,444804.880272423,78721.9984793159,174035.059973356
0.160714285714286,0.141233766233766,50000000,690614.441135139,34.2939724671496,54.86536145,52,70,0.33357,0.009154892,2.0229067010503,0.04193351183415,0.0582264925981072,0.391490857104171,0.884782971858853,273886.005635577,212362.529191488,28182.6557431322,33340.8207009563
