School_age,Elders,Population_size,GDP,Hospital_capacity,Test_rate,Test_start,Response_time,Social_distancing_min,Social_distancing_rate,R0,Agriculture,Food_sector,International_tourism,Internet,Cost,Deaths,School,GDP_loss
0.260762794081979,0.0459919961193306,50000000,42170.30130986,15.4165756574532,32.54209726,103,72,0.100002922,9.999999997,1.53632710085818,0.565766492997472,0.226566331404181,0.998631323091935,0.140439697253871,5492.66938238098,952.672234733983,44.533559420582,4495.46358822641
0.154180115470291,0.167068236577715,50000000,92624.4917521172,27.6064315082242,3.41224672,68,73,0.4,0.001736216,1.62387068536733,0.045496369408862,0.0496284754292702,0.205885468640352,0.60967721151468,6025.44984608308,5089.05561227625,26.6434213070561,909.750812499775
0.276672694394213,0.0470162748643761,50000000,61115.3827449953,5.64294429234774,4.255513432,234,78,0.4,0.000382647,1.53985231101497,0.413906446090153,0.00953247011318753,0.0675216819575127,0.812157644282871,2652.5587491969,2422.42607765016,45.4037000351543,184.728971511589
0.373811548272397,0.0271701321790214,50000000,24858.5158939561,6.89887520643461,2.894946809,87,76,0.1000002,1.48e-05,1.72071613995247,0.0162019357979116,0.120928587043119,0.25184212341508,0.0276851008492714,1230.9965967601,562.235251086025,45.7656560842744,622.995689589804
0.272501936483346,0.0845855925639039,50000000,143272.082628614,32.5008701963285,24.04131238,389,84,0.1,0.01555271,1.70922304207919,0.336969160414883,0.0708571439395942,0.332385928552177,0.397348118285954,7179.55975838067,4320.75236617247,255.27148341587,2603.53590879233
0.254889208900451,0.0655455939053282,50000000,144714.776095082,21.3542563356651,1.078087697,82,73,0.1,3.37e-07,1.49213729804327,0.35466837125249,0.0627117256797413,0.453806989528688,0.964589667690908,5418.64759759913,2596.51734835524,28.4985524902278,2793.63169675366
0.354714064914992,0.0432766615146832,50000000,74395.2885771514,23.1509691810863,15.82042683,531,81,0.4,0.049963287,1.52521485128526,0.276072410488247,0.0914931939396436,0.789194749487976,0.723944046829873,4576.20396898144,897.610298011547,39.5330728984856,3639.0605980714
0.394639265962795,0.0219959778783308,50000000,13585.4826272449,83.2520009946658,3.041103604,88,78,0.4,2.52e-11,1.74292303989718,0.0260361428739523,0.0510188173613259,0.287903860758832,0.852221446907846,378.194436616906,197.397818087993,16.7523813065679,164.044237222345
0.377237851662404,0.0255754475703325,50000000,51248.3971339804,15.4736064080414,40.45642202,139,101,0.4,1.48e-05,1.34923218438317,0.461976852805015,0.120154938359219,0.457723169531559,0.271641601323575,1635.8764148794,0.569630735428315,0.261093344875456,1635.04569079909
0.386353423742093,0.0301644179696051,50000000,50617.4394741987,4.47511943853768,3.090338361,77,76,0.4,2.48e-10,1.8522796266602,0.623531757680137,0.071133895138583,0.797388192858017,0.499054845421418,3361.28181448781,1011.66770484859,150.975245898591,2198.63886374063
0.217463871783708,0.0755323339760735,50000000,82902.0458154247,42.779703913178,17.95312228,107,77,0.4,6.14e-05,1.87142246590912,0.0796637167444505,0.074321219422029,0.305950784031425,0.594036239665624,5369.82562936604,3773.9083536048,44.16554676061,1551.75172900062
0.295371997656708,0.0469244288224956,50000000,257868.341082771,7.82407875088316,1.044360014,531,72,0.27786,9.999999997,1.79549367515688,0.311168848098309,0.069384441769862,0.521462618273081,0.231559925862008,29166.3941901264,23799.1109611227,376.81816724328,4990.46506176036
0.301410535078389,0.0531471118716182,50000000,348087.89815843,21.8342209277676,6.357408445,73,79,0.100197487,2.53e-09,1.74918600007028,0.158407367006532,0.0137855979843753,0.0544980408756322,0.65570071104913,9205.47060737008,7861.73348203737,296.40845759699,1047.32866773572
0.257364341085271,0.0418604651162791,50000000,36905.3834561737,26.3757166888834,325.4494915,82,74,0.1,1.005665385,1.6079764923801,0.00822060345342346,0.111252555997745,0.762577898194958,0.69164474640379,2538.73910207406,603.204530796395,9.26589042204105,1926.26868085562
0.154180115470291,0.167068236577715,50000000,133237.074235988,19.1609350244012,8.370261941,148,78,0.4,1.005665385,1.71805466393223,0.0415510866289844,0.0334508359447143,0.313313577383793,0.0540947499476154,24233.4785128425,23120.5706629113,56.4123422679553,1056.49550766321
0.295371997656708,0.0469244288224956,50000000,19327.2752201489,15.3098680060353,24.04131238,51,80,0.4,0.000717249,1.47139242758098,0.0380676413556157,0.0995753985044367,0.595412062519566,0.916822489193342,702.088445840641,0.00559593478290536,0.000413366824713343,702.082436539033
0.31388723828166,0.0578489286588137,50000000,59737.3851061306,9.78668770829837,3.777654932,73,80,0.1,3.37e-07,1.67190353226925,0.177106180960865,0.0187793164292708,0.00934352034555793,0.995460965563954,1706.43936280413,1469.94066998873,27.5377765426837,208.960916272711
0.291606016496846,0.0472464822901504,50000000,266556.763097311,36.2525639500028,71.13924051,75,80,0.100197487,9.999999978,1.58436778008152,0.0466759417136913,0.0661543344479169,0.486482517353344,0.985870536857658,9718.24701803146,5124.6740072445,33.7124831418221,4559.86052764513
0.25994738086792,0.0604935260730756,50000000,305764.83444062,34.5375602578796,59.95523362,126,66,0.4,1.005665385,1.85984212844061,0.488292997033922,0.0590849806212109,0.608870318372887,0.691749140044227,21230.064566699,12714.8266772395,197.716770650007,8317.52111880944
0.301259227095094,0.0734693877551021,50000000,71820.3652405701,5.93094544097232,59.95523362,88,76,0.1,2.48e-10,1.85423846195715,0.589685831645256,0.0636517333406969,0.418285526639614,0.884782971858853,3510.39047639279,1802.03981302959,60.9314426467058,1647.4192207165
