School_age,Elders,Population_size,GDP,workp,Hospital_capacity,Test_rate,Test_start,Response_time,Social_distancing_min,Social_distancing_rate,R0,beta,Agriculture,Food_sector,International_tourism,Internet,Cost,Deaths,School,GDP_loss
0.173021960935302,0.185076041404434,50000000,1511548.07245434,5.063888681,25.9405439936749,463.7851675,43,64,0.102587567,0.000460989,5.24166025197319,0.155305689247702,0.00777462184086986,0.0197053675044186,0.0711627013773992,0.869519803826638,432185.248934377,115279.866210533,79610.0785715139,237295.30415233
0.144963144963145,0.190752736207282,50000000,1080482.4104003,6.251243135,106.129745388,2042.694021,50,33,0.4,2.22e-14,6.49157251588123,0.15139881717851,0.000298835990367409,0.0950675467879751,0.562773870321824,0.295229056165885,623501.903591695,494174.753769742,19474.7088717943,109852.440950158
0.157894736842105,0.16374269005848,50000000,660719.948455462,4.999777281,48.4863055486689,136.4044863,418,63,0.299285,0.118592583,7.11526979632078,0.144588619060177,0.0438042965116808,0.0696967632262731,0.354434698467807,0.400858938102397,549093.697701792,319465.267250673,40460.3933761603,189168.037074959
0.197530864197531,0.166666666666667,50000000,711819.325643383,3.727898332,138.239164153408,117.7476261,47,70,0.355,1.39e-12,6.41442804090124,0.151681446329635,0.0258930264873553,0.0739490641353778,0.564665980083618,0.545333965090014,382737.478144965,223719.11494307,25348.7124180702,133669.650783825
0.256572769953052,0.122065727699531,50000000,1917871.3330453,3.605519089,77.8546119886168,209.1339259,43,69,0.324020744,0.054864172,5.85612834584798,0.152986198773567,0.120026982751208,0.00803122880825019,0.239747888916158,0.38072259472015,1001222.0852542,472814.871727227,215479.605316196,312927.608210776
0.138416890982503,0.151202893674293,50000000,1120561.17547297,6.225830028,60.6348572394086,133.0822059,47,60,0.4,0.118592583,6.54864317711545,0.15116120452095,0.0330890843480887,0.0228801829657507,0.0701563384272044,0.529234979653771,907208.079275226,520567.814460234,61626.2107675301,325014.054047462
0.14827522499934,0.181160759059358,50000000,975042.845003278,3.437707236,155.805002194363,117.7476261,57,64,0.233886625,6.02e-05,5.83185895233319,0.153052915045804,0.0323080077644776,0.0158720886331423,0.029888015385504,0.03825491439489,419099.54717262,248856.87139123,56230.9896939344,114011.686087455
0.173021960935302,0.185076041404434,50000000,573544.399607306,5.867136266,106.269754570476,1563.171748,47,63,0.4,0.048727975,6.79301390542061,0.149518146576765,0.0214297911423425,0.0952153506931754,0.418978607208308,0.0167246751461756,334817.219625521,233553.264187259,24821.7372383297,76442.2181999318
0.186684124905765,0.159187398325596,50000000,2177262.03667288,4.611049061,89.4540283645254,292.45,67,33,0.1,3.79e-08,5.89262580050617,0.152889536507808,0.0819901048820075,0.0409611550396658,0.465029841035235,0.447894108190448,951401.260442032,382090.068278944,169498.216909367,399812.975253722
0.196814832422154,0.027810791537913,50000000,2333127.6484131,5.514869378,109.095896577489,253.1591928,50,71,0.183672547,0.048727975,5.83816502233169,0.153035551347633,0.0106383742121853,0.0318633365886164,0.323233622085696,0.233167173774115,851048.429467402,354087.819372313,89330.4422759052,407630.167819184
0.239520958083832,0.101796407185629,50000000,899173.516652764,5.009958089,33.9787874824964,331.6298571,56,72,0.262855,1.07e-07,5.75500810641446,0.153283907759768,0.0355835409827494,0.0885988907548046,0.409189053231061,0.0932197190078353,489965.297573665,129636.111759028,139900.016366927,220429.16944771
0.14827522499934,0.181160759059358,50000000,1925350.04617991,5.587221226,126.259424984839,580.2722078,67,60,0.360715,4.77e-10,5.76821523927104,0.153242106784395,0.0673917770581561,0.0536873075776081,0.269529619743087,0.579168262540449,744886.919989791,567835.745517805,10291.4892034513,166759.685268535
0.152537828448859,0.168275395770674,50000000,1928819.44193108,6.215916754,57.5211420743159,383.1706395,50,70,0.4,3.79e-08,6.36763666608526,0.151821675425186,0.0638078101134385,0.073784167293975,0.766191650517453,0.289594212006789,1143218.03587415,737712.483669808,76221.3475245613,329284.204679785
0.132395831691129,0.280020810014031,50000000,2048407.32629455,5.063888681,102.688208796124,443.2923191,16,70,0.360715,0.000460989,6.30314046842976,0.151975573547467,0.0475273157037016,0.017340108190913,0.385130221331347,0.0693532962932096,887547.308371141,550306.500946388,93340.1760670213,243900.631357732
0.149145421560202,0.219230401986059,50000000,783224.719199898,6.037846742,182.829438469336,109.067389,24,25,0.355,0.009154892,6.21216882056504,0.152140953126541,0.0122598161184664,0.01617446114919,0.42556202335535,0.938846463098405,403271.291390201,254308.056228593,22563.9547537621,126399.280407846
0.149394673123487,0.208474576271186,50000000,1273787.67676767,6.379739429,43.6266039114508,307.9719653,67,63,0.355,0.060954398,5.57147893703189,0.153920835594954,0.0471388466140228,0.0242505793833176,0.104364081390919,0.559297086153806,784551.970816376,444246.726833574,39790.6950614017,300514.5489214
0.229166666666667,0.0509259259259259,50000000,2224303.5731053,5.141249993,108.878186914452,650.4420455,62,65,0.1,6.02e-05,6.20250991438489,0.152157564876155,0.0589884959918177,0.0608530542152214,0.173332751535223,0.692298068660603,722125.25003601,243528.954649435,72870.385416749,405725.909969827
0.144963144963145,0.190752736207282,50000000,741714.598430919,5.396312646,70.0219271820326,33.43689759,46,61,0.355,0.000460989,6.92660813955889,0.147852550970422,0.0396689294241592,0.129960638269502,0.488331649147127,0.979532017520032,567743.591615701,299369.521794177,13773.9104600929,254600.159361431
0.149145421560202,0.219230401986059,50000000,657489.531541626,6.725651686,58.2658766363885,159.0567251,62,63,0.355,0.05006251,5.99273746845927,0.152630292623389,0.0622974592898394,0.0958201459583282,0.351299298698486,0.0822047136897442,528405.635202812,263861.594882442,58654.7712069735,205889.269113397
